Users
type,data-set,entityid,username,password
Credential,0,default_data:2,defaultuser,…
Credential,0,default_data:3,extuser,…
Credential,0,default_data:4,serviceuser,…
Credential,0,default_data:5,uauser,…
type,data-set,entityid,firstname,lastname
UserContact,0,default_data:2,Default,User
UserContact,0,default_data:3,External,User
UserContact,0,default_data:4,Service,User
UserContact,0,default_data:5,Unauthenticated,User
type,data-set,entityid
UserSettings,0,default_data:2
UserSettings,0,default_data:3
UserSettings,0,default_data:4
UserSettings,0,default_data:5
type,data-set,entityid,credential,contact,usersettings
User,0,default_data:defaultuser,default_data:2,default_data:2,default_data:2
User,0,default_data:extuser,default_data:3,default_data:3,default_data:3
User,0,default_data:serviceuser,default_data:4,default_data:4,default_data:4
User,0,default_data:uauser,default_data:5,default_data:5,default_data:5
type,data-set,entityid,user,role
UserRole,0,default_data:2,default_data:defaultuser,default_user
UserRole,0,default_data:3,default_data:extuser,external_user
UserRole,0,default_data:4,default_data:serviceuser,service_user
UserRole,0,default_data:5,default_data:uauser,unauthenticated_user
